개설강좌,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과대분류,교과분야,교과영역,전공(트랙),학위구분,성적부여방법,학점,이론시수,실습시수,코드쉐어여부,영어강의여부,요일/교시/강의실,선수과목,비고
1,기초학부,전체,BE101a,01,프로그래밍,목지수,기초필수,교과,이론및실습,기초,기초공학,컴퓨터공학,,,등급,3.0,2.0,2.0,N,Y,"화09:00-11:00(E7 - 233), 목09:00-11:00(E7 - 233)",,목요일 09시-11시 실습 수업 일괄 진행
2,기초학부,전체,BE202,01,데이터사이언스기초,장준기,기초필수,교과,이론및실습,기초,기초공학,컴퓨터공학,,,등급,3.0,2.0,2.0,N,Y,"화13:00-15:00(E7 - 233), 목13:00-15:00(E7 - 233)",,
3,기초학부,전체,BE202,02,데이터사이언스기초,길현재,기초필수,교과,이론및실습,기초,기초공학,컴퓨터공학,,,등급,3.0,2.0,2.0,N,Y,"월15:00-17:00(E7 - 233), 수15:00-17:00(E7 - 233)",,
4,기초학부,전체,BE203,01,창의기계설계,박준혁,기초필수,교과,이론,기초,기초공학,공학선택,,,등급,3.0,3.0,0.0,N,N,금09:00-12:00(E7 - 307),,
5,기초학부,전체,BE203,02,창의기계설계,송석호,기초필수,교과,이론,기초,기초공학,공학선택,,,등급,3.0,3.0,0.0,N,Y,월14:30-17:30(E7 - 307),,
6,기초학부,전체,BE205,01,회로이론과 계측법(이론),이정협,기초필수,교과,이론,기초,기초공학,공학선택,,,등급,2.0,2.0,0.0,N,Y,목17:00-19:00(E7 - 233),,
7,기초학부,전체,BE205,02,회로이론과 계측법(이론),송민영,기초필수,교과,이론,기초,기초공학,공학선택,,,등급,2.0,2.0,0.0,N,Y,화17:00-19:00(E7 - 233),,
8,기초학부,전체,BR301,01,뇌과학실험Ⅰ(이),"조용철, 김규형, 오용석",심화필수,교과,실습,심화,전공,트랙,,이학사,등급,3.0,0.0,3.0,N,Y,금09:00-12:00(E4 - 225),,
9,기초학부,전체,BR403,01,신경재생 및 퇴행(이),조용철,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화14:30-16:00(E7 - L21), 목14:30-16:00(E7 - L21)",,신규개설
10,기초학부,전체,BR404,01,학습과 기억(이),박포정,심화필수,교과,이론,심화,전공,트랙,,이학사,등급,3.0,3.0,0.0,N,Y,"화16:30-18:00(E7 - G01), 목16:30-18:00(E7 - G01)",,신규개설
11,기초학부,전체,BS102a,01,공학수학Ⅰ,안흥주,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화13:00-15:00(E7 - 223), 목13:00-15:00(E7 - 223)",,
12,기초학부,전체,BS102a,02,공학수학Ⅰ,Hudson Thomas Bryan,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화16:30-18:30(E7 - 223), 목16:30-18:30(E7 - 223)",,
13,기초학부,전체,BS102a,03,공학수학Ⅰ,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"월09:00-11:00(E7 - L21), 수09:00-11:00(E7 - L21)",,
14,기초학부,전체,BS102a,04,공학수학Ⅰ,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"월16:00-18:00(E7 - 223), 수16:00-18:00(E7 - 223)",,
15,기초학부,전체,BS102a,05,공학수학Ⅰ,Carlos Scarinci,기초필수,교과,이론및실습,기초,기초과학,수학,,,등급,3.0,3.0,1.0,N,Y,"화11:00-13:00(E7 - 223), 목11:00-13:00(E7 - 223)",,
